depth_scale,trade_bps_of_initial_depth,amount_in,amount_out,slippage_bps
1.0,10,1000.0,999.000999000999,9.990009990010762
1.0,50,5000.0,4975.124378109453,49.7512437810943
1.0,100,10000.0,9900.990099009901,99.0099009900991
1.0,250,25000.0,24390.243902439026,243.90243902438934
1.0,500,50000.0,47619.04761904762,476.1904761904767
1.0,1000,100000.0,90909.09090909091,909.0909090909083
1.5,10,1000.0,999.3337774816789,6.662225183210468
1.5,50,5000.0,4983.388704318937,33.222591362126465
1.5,100,10000.0,9933.774834437087,66.22516556291313
1.5,250,25000.0,24590.16393442623,163.93442622950838
1.5,500,50000.0,48387.096774193546,322.58064516129116
1.5,1000,100000.0,93750.0,625.0
2.0,10,1000.0,999.5002498750624,4.997501249375258
2.0,50,5000.0,4987.5311720698255,24.937655860348684
2.0,100,10000.0,9950.248756218905,49.7512437810943
2.0,250,25000.0,24691.35802469136,123.45679012345623
2.0,500,50000.0,48780.48780487805,243.90243902438934
2.0,1000,100000.0,95238.09523809524,476.1904761904767
4.0,10,1000.0,999.7500624843789,2.4993751562107924
4.0,50,5000.0,4993.757802746567,12.484394506866447
4.0,100,10000.0,9975.062344139651,24.937655860348684
4.0,250,25000.0,24844.72049689441,62.11180124223614
4.0,500,50000.0,49382.71604938272,123.45679012345623
4.0,1000,100000.0,97560.9756097561,243.90243902438934
