scenario,utilization_bps,day,anchor_nad,borrow_apr_nad,borrow_apr_percent
idle,0,0,40000000,10000000,1.0
idle,0,1,37808219,9452054,0.9452054
idle,0,2,35736535,8934133,0.8934133
idle,0,3,33778368,8444592,0.8444592
idle,0,4,31927498,7981874,0.7981874
idle,0,5,30178046,7544511,0.7544511
idle,0,6,28524454,7131113,0.7131113
idle,0,7,26961470,6740367,0.6740367
idle,0,8,25484129,6371032,0.6371032
idle,0,9,24087738,6021934,0.6021934
idle,0,10,22767861,5691965,0.5691965
idle,0,11,21520306,5380076,0.5380076
idle,0,12,20341111,5085277,0.5085277
idle,0,13,19226529,4806632,0.4806632
idle,0,14,18173020,4543255,0.4543255
idle,0,15,17177238,4294309,0.4294309
idle,0,16,16236019,4059004,0.4059004
idle,0,17,15346374,3836593,0.3836593
idle,0,18,14505476,3626369,0.3626369
idle,0,19,13710655,3427663,0.3427663
idle,0,20,12959386,3239846,0.3239846
idle,0,21,12249282,3062320,0.306232
idle,0,22,11578088,2894522,0.2894522
idle,0,23,10943672,2735918,0.2735918
idle,0,24,10344018,2586004,0.2586004
idle,0,25,9777222,2444305,0.2444305
idle,0,26,9241483,2310370,0.231037
idle,0,27,8735100,2183775,0.2183775
idle,0,28,8256464,2064116,0.2064116
idle,0,29,7804055,1951013,0.1951013
idle,0,30,7376435,1844108,0.1844108
target,7000,0,40000000,40000000,4.0
target,7000,1,40000000,40000000,4.0
target,7000,2,40000000,40000000,4.0
target,7000,3,40000000,40000000,4.0
target,7000,4,40000000,40000000,4.0
target,7000,5,40000000,40000000,4.0
target,7000,6,40000000,40000000,4.0
target,7000,7,40000000,40000000,4.0
target,7000,8,40000000,40000000,4.0
target,7000,9,40000000,40000000,4.0
target,7000,10,40000000,40000000,4.0
target,7000,11,40000000,40000000,4.0
target,7000,12,40000000,40000000,4.0
target,7000,13,40000000,40000000,4.0
target,7000,14,40000000,40000000,4.0
target,7000,15,40000000,40000000,4.0
target,7000,16,40000000,40000000,4.0
target,7000,17,40000000,40000000,4.0
target,7000,18,40000000,40000000,4.0
target,7000,19,40000000,40000000,4.0
target,7000,20,40000000,40000000,4.0
target,7000,21,40000000,40000000,4.0
target,7000,22,40000000,40000000,4.0
target,7000,23,40000000,40000000,4.0
target,7000,24,40000000,40000000,4.0
target,7000,25,40000000,40000000,4.0
target,7000,26,40000000,40000000,4.0
target,7000,27,40000000,40000000,4.0
target,7000,28,40000000,40000000,4.0
target,7000,29,40000000,40000000,4.0
target,7000,30,40000000,40000000,4.0
full,10000,0,40000000,160000000,16.0
full,10000,1,42191780,168767120,16.876712
full,10000,2,44503658,178014632,17.8014632
full,10000,3,46942214,187768856,18.7768856
full,10000,4,49514390,198057560,19.805756
full,10000,5,52227507,208910028,20.8910028
full,10000,6,55089288,220357152,22.0357152
full,10000,7,58107879,232431516,23.2431516
full,10000,8,61291872,245167488,24.5167488
full,10000,9,64650330,258601320,25.860132
full,10000,10,68192813,272771252,27.2771252
full,10000,11,71929405,287717620,28.771762
full,10000,12,75870742,303482968,30.3482968
full,10000,13,80028042,320112168,32.0112168
full,10000,14,84413140,337652560,33.765256
full,10000,15,89038517,356154068,35.6154068
full,10000,16,93917339,375669356,37.5669356
full,10000,17,99063494,396253976,39.6253976
full,10000,18,104491630,417966520,41.796652
full,10000,19,110217198,440868792,44.0868792
full,10000,20,116256496,465025984,46.5025984
full,10000,21,122626714,490506856,49.0506856
full,10000,22,129345985,517383940,51.738394
full,10000,23,136433436,545733744,54.5733744
full,10000,24,143909240,575636960,57.563696
full,10000,25,151794677,607178708,60.7178708
full,10000,26,160112193,640448772,64.0448772
full,10000,27,168885463,675541852,67.5541852
full,10000,28,178139460,712557840,71.255784
full,10000,29,187900526,751602104,75.1602104
full,10000,30,198196445,792785780,79.278578
