actual_debt,canonical_claim,usable_revenue,debt_claim_ratio,funding_gap,discount_bps,bonus_output,critical
1000000,1000000,0,1.0,0,0,0,False
1000250,1000000,0,1.00025,250,0,0,False
1000500,1000000,0,1.0005,500,0,0,False
1000750,1000000,0,1.00075,750,0,0,False
1001000,1000000,0,1.001,1000,0,0,False
1001250,1000000,0,1.00125,1250,0,0,False
1001500,1000000,0,1.0015,1500,0,0,False
1001750,1000000,0,1.00175,1750,0,0,False
1002000,1000000,0,1.002,2000,0,0,False
1002250,1000000,0,1.00225,2250,0,0,False
1002499,1000000,0,1.002499,2499,0,0,False
1002500,1000000,0,1.0025,2500,20,5,False
1002750,1000000,0,1.00275,2750,22,6,False
1003000,1000000,0,1.003,3000,24,7,False
1003250,1000000,0,1.00325,3250,26,8,False
1003500,1000000,0,1.0035,3500,28,9,False
1003750,1000000,0,1.00375,3750,30,11,False
1004000,1000000,0,1.004,4000,32,12,False
1004250,1000000,0,1.00425,4250,34,14,False
1004500,1000000,0,1.0045,4500,36,16,False
1004750,1000000,0,1.00475,4750,38,18,False
1005000,1000000,0,1.005,5000,40,20,False
1005250,1000000,0,1.00525,5250,42,22,False
1005500,1000000,0,1.0055,5500,44,24,False
1005750,1000000,0,1.00575,5750,46,26,False
1006000,1000000,0,1.006,6000,48,28,False
1006250,1000000,0,1.00625,6250,50,31,False
1006500,1000000,0,1.0065,6500,52,33,False
1006750,1000000,0,1.00675,6750,54,36,False
1007000,1000000,0,1.007,7000,56,39,False
1007250,1000000,0,1.00725,7250,58,42,False
1007500,1000000,0,1.0075,7500,60,45,False
1007750,1000000,0,1.00775,7750,62,48,False
1008000,1000000,0,1.008,8000,64,51,False
1008250,1000000,0,1.00825,8250,66,54,False
1008500,1000000,0,1.0085,8500,68,58,False
1008750,1000000,0,1.00875,8750,70,61,False
1009000,1000000,0,1.009,9000,72,65,False
1009250,1000000,0,1.00925,9250,74,68,False
1009500,1000000,0,1.0095,9500,76,72,False
1009750,1000000,0,1.00975,9750,78,76,False
1010000,1000000,0,1.01,10000,80,80,False
1010250,1000000,0,1.01025,10250,82,84,False
1010500,1000000,0,1.0105,10500,84,88,False
1010750,1000000,0,1.01075,10750,86,93,False
1011000,1000000,0,1.011,11000,88,97,False
1011250,1000000,0,1.01125,11250,90,102,False
1011500,1000000,0,1.0115,11500,92,106,False
1011750,1000000,0,1.01175,11750,94,111,False
1012000,1000000,0,1.012,12000,96,116,False
1012250,1000000,0,1.01225,12250,98,121,False
1012500,1000000,0,1.0125,12500,100,126,False
1012750,1000000,0,1.01275,12750,102,131,False
1013000,1000000,0,1.013,13000,104,136,False
1013250,1000000,0,1.01325,13250,106,141,False
1013500,1000000,0,1.0135,13500,108,147,False
1013750,1000000,0,1.01375,13750,110,152,False
1014000,1000000,0,1.014,14000,112,158,False
1014250,1000000,0,1.01425,14250,114,164,False
1014500,1000000,0,1.0145,14500,116,170,False
1014750,1000000,0,1.01475,14750,118,176,False
1015000,1000000,0,1.015,15000,120,182,False
